,width,height,runtime,threshold,sigmoid_strength,coupling,refractory_period,set_seed,constant,gradient,grad_start,grad_end,normal_modes,normal_modes_config,graph,FullStateSave,stats,seed,in AF?,%time in AF
0,50,50,1000,0.25,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0, 0.6]",False,False,False,2630919,False,0.0
1,50,50,1000,0.25,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0, 0.6]",False,False,False,6374974,True,0.356
2,50,50,1000,0.25,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0, 0.6]",False,False,False,8378949,False,0.0
3,50,50,1000,0.25,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0, 0.6]",False,False,False,1273712,False,0.0
4,50,50,1000,0.25,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0, 0.6]",False,False,False,8390264,True,0.805
5,50,50,1000,0.25,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0, 0.6]",False,False,False,5385575,True,0.507
6,50,50,1000,0.25,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0, 0.6]",False,False,False,4868664,True,0.085
7,50,50,1000,0.25,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0, 0.6]",False,False,False,1895032,True,0.625
8,50,50,1000,0.25,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0, 0.6]",False,False,False,9795937,False,0.0
9,50,50,1000,0.25,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0, 0.6]",False,False,False,6607502,False,0.0
10,50,50,1000,0.25,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0, 0.6]",False,False,False,6920966,True,0.021
11,50,50,1000,0.25,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0, 0.6]",False,False,False,9980472,True,0.962
12,50,50,1000,0.25,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0, 0.6]",False,False,False,8449865,False,0.0
13,50,50,1000,0.25,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0, 0.6]",False,False,False,4228344,True,0.824
