,width,height,runtime,threshold,sigmoid_strength,coupling,refractory_period,set_seed,constant,gradient,grad_start,grad_end,normal_modes,normal_modes_config,graph,FullStateSave,stats,seed,location_2,location_3,location_4,AF_time,per_%,title,mean,variance,in AF?,multiplier
0,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.2, 0.5]",False,False,False,2064284033,7626,7626,7626,"(1, 153)",1.0,"100,100,10000,0.25,25,Normal Modes,10,2064284033",0.49849333333333334,0.050136396622222225,True,0.1
1,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.2, 0.5]",False,False,False,57289427,6526,6526,6526,"(1, 145)",1.0,"100,100,10000,0.25,25,Normal Modes,10,57289427",0.4995266666666666,0.04971110928888889,True,0.5
2,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.2, 0.5]",False,False,False,843744141,8103,8103,8103,"(1, 122)",1.0,"100,100,10000,0.25,25,Normal Modes,10,843744141",0.49687,0.04987453643333334,True,1.0
3,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.2, 0.5]",False,False,False,1301539590,8708,8708,8708,"(1, 123)",1.0,"100,100,10000,0.25,25,Normal Modes,10,1301539590",0.49497333333333315,0.05032806595555556,True,2.0
4,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.2, 0.5]",False,False,False,4122189195,9332,9430,9430,"(1, 153)",1.0,"100,100,10000,0.25,25,Normal Modes,10,4122189195",0.5001533333333334,0.051151087600000006,True,3.0
5,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.2, 0.5]",False,False,False,2228887600,29,29,7336,"(1, 147)",1.0,"100,100,10000,0.25,25,Normal Modes,10,2228887600",0.49882333333333334,0.049950504344444445,True,4.0
6,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.2, 0.5]",False,False,False,3855710567,7818,7818,7818,"(1, 136)",1.0,"100,100,10000,0.25,25,Normal Modes,10,3855710567",0.5033466666666667,0.04978679982222222,True,5.0
7,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.2, 0.5]",False,False,False,1057320705,6032,6032,6032,"(1, 151)",1.0,"100,100,10000,0.25,25,Normal Modes,10,1057320705",0.5030633333333333,0.04940161598888888,True,6.0
8,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.2, 0.5]",False,False,False,3357942771,5934,5936,5936,"(1, 159)",1.0,"100,100,10000,0.25,25,Normal Modes,10,3357942771",0.49788999999999994,0.05059210345555555,True,7.0
9,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.2, 0.5]",False,False,False,1079893554,8849,8849,6748,"(1, 175)",1.0,"100,100,10000,0.25,25,Normal Modes,10,1079893554",0.4974999999999999,0.05004419444444445,True,8.0
10,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.2, 0.5]",False,False,False,1029691067,6943,7544,6943,"(1, 171)",1.0,"100,100,10000,0.25,25,Normal Modes,10,1029691067",0.49404333333333333,0.05050285145555555,True,9.0
11,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.2, 0.5]",False,False,False,608192203,7403,7403,7403,"(1, 116)",1.0,"100,100,10000,0.25,25,Normal Modes,10,608192203",0.5019166666666667,0.05092532638888889,True,10.0
12,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.2, 0.5]",False,False,False,1258357120,7806,7806,7806,"(1, 123)",1.0,"100,100,10000,0.25,25,Normal Modes,10,1258357120",0.4971400000000001,0.050552709288888886,True,11.0
13,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.2, 0.5]",False,False,False,212943111,3583,3482,3482,"(21, 221)",1.0,"100,100,10000,0.25,25,Normal Modes,10,212943111",0.4975133333333333,0.051272705377777776,True,12.0
14,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.2, 0.5]",False,False,False,3499101108,58,2868,2868,"(1, 187)",1.0,"100,100,10000,0.25,25,Normal Modes,10,3499101108",0.4966766666666667,0.050871955455555555,True,13.0
15,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.2, 0.5]",False,False,False,2833877065,7218,7218,7218,"(1, 136)",1.0,"100,100,10000,0.25,25,Normal Modes,10,2833877065",0.5011266666666666,0.0501705084,True,14.0
16,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.2, 0.5]",False,False,False,2721743817,7540,7540,7540,"(1, 166)",1.0,"100,100,10000,0.25,25,Normal Modes,10,2721743817",0.4970633333333333,0.050473264877777785,True,15.0
17,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.2, 0.5]",False,False,False,1591547089,5853,5853,5853,"(1, 178)",1.0,"100,100,10000,0.25,25,Normal Modes,10,1591547089",0.5029433333333333,0.0521883367888889,True,0.1
18,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.2, 0.5]",False,False,False,801032177,5836,5836,5836,"(1, 159)",1.0,"100,100,10000,0.25,25,Normal Modes,10,801032177",0.49486999999999987,0.049719571988888885,True,0.5
19,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.2, 0.5]",False,False,False,2810783892,873,2684,2684,"(1, 201)",1.0,"100,100,10000,0.25,25,Normal Modes,10,2810783892",0.4991366666666667,0.05121936576666667,True,1.0
20,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.2, 0.5]",False,False,False,2976829347,5402,5403,5403,"(1, 115)",1.0,"100,100,10000,0.25,25,Normal Modes,10,2976829347",0.4963366666666667,0.05105957998888889,True,2.0
21,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.2, 0.5]",False,False,False,4143175227,6438,6438,6438,"(1, 163)",1.0,"100,100,10000,0.25,25,Normal Modes,10,4143175227",0.4970366666666667,0.050202885322222224,True,3.0
22,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.2, 0.5]",False,False,False,2288259531,7303,7303,6919,"(1, 121)",1.0,"100,100,10000,0.25,25,Normal Modes,10,2288259531",0.4976333333333333,0.05054373222222222,True,4.0
23,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.2, 0.5]",False,False,False,2846256042,7443,7443,7443,"(1, 168)",1.0,"100,100,10000,0.25,25,Normal Modes,10,2846256042",0.5029566666666666,0.04992870256666667,True,5.0
