,width,height,runtime,threshold,sigmoid_strength,coupling,refractory_period,set_seed,constant,gradient,grad_start,grad_end,normal_modes,normal_modes_config,graph,FullStateSave,stats,seed,location_2,location_3,location_4,AF_time,per_%,title,mean,variance,in AF?,multiplier
912,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.2, 0.6]",False,False,False,3344916865,7139,5287,5287,"(1, 160)",1.0,"100,100,10000,0.25,25,Normal Modes,10,3344916865",0.59778,0.04927818271111112,True,10.0
913,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.2, 0.6]",False,False,False,4154862982,6682,6681,6681,"(223, 423)",1.0,"100,100,10000,0.25,25,Normal Modes,10,4154862982",0.5984866666666667,0.04877615426666666,True,11.0
914,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.2, 0.6]",False,False,False,3734362822,9080,9080,9080,"(13, 213)",1.0,"100,100,10000,0.25,25,Normal Modes,10,3734362822",0.5986666666666666,0.049164000000000006,True,12.0
915,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.2, 0.6]",False,False,False,3256260276,177,177,177,"(1, 201)",1.0,"100,100,10000,0.25,25,Normal Modes,10,3256260276",0.6058366666666666,0.04830648887777778,True,13.0
916,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.2, 0.6]",False,False,False,3297331786,8750,8850,8849,"(1, 178)",1.0,"100,100,10000,0.25,25,Normal Modes,10,3297331786",0.5978366666666667,0.050332764433333343,True,14.0
917,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.2, 0.6]",False,False,False,3158562741,9275,9275,9275,"(2, 202)",1.0,"100,100,10000,0.25,25,Normal Modes,10,3158562741",0.6017533333333334,0.04969648137777779,True,15.0
918,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.2, 0.6]",False,False,False,1553139561,6705,7468,7468,"(1, 119)",1.0,"100,100,10000,0.25,25,Normal Modes,10,1553139561",0.60329,0.04759350923333333,True,0.1
919,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.2, 0.6]",False,False,False,4040462843,6973,6973,5563,"(7, 207)",1.0,"100,100,10000,0.25,25,Normal Modes,10,4040462843",0.59922,0.048096502711111114,True,0.5
920,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.2, 0.6]",False,False,False,195776402,7259,7259,7259,"(1, 185)",1.0,"100,100,10000,0.25,25,Normal Modes,10,195776402",0.59821,0.04826024034444445,True,1.0
921,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[1, 0.2, 0.6]",False,False,False,1371880803,5870,5870,5870,"(198, 398)",1.0,"100,100,10000,0.25,25,Normal Modes,10,1371880803",0.60171,0.04863985367777778,True,2.0
