,width,height,runtime,threshold,sigmoid_strength,coupling,refractory_period,set_seed,normal_modes_config,graph,FullStateSave,stats,seed,location_2,location_3,location_4,location_err,AF_time,Hamming_dis_arr,per_%,title,mean,variance,in AF?,multiplier
0,100,100,10000,0.25,25,0.55,10,0,"[1, 0.2, 0.8]",False,False,False,3696094113,False,False,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,3696094113",0.7976066666666668,0.035941827511111114,False,0.01
1,100,100,10000,0.25,25,0.55,10,0,"[1, 0.2, 0.8]",False,False,False,2337657828,False,False,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,2337657828",0.7993933333333333,0.0356980764,False,0.01
2,100,100,10000,0.25,25,0.55,10,0,"[1, 0.2, 0.8]",False,False,False,716237462,False,False,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,716237462",0.79565,0.03461429972222222,False,0.01
3,100,100,10000,0.25,25,0.55,10,0,"[1, 0.2, 0.8]",False,False,False,1328080864,False,False,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,1328080864",0.8004633333333333,0.035222785322222214,False,0.01
4,100,100,10000,0.25,25,0.55,10,0,"[1, 0.2, 0.8]",False,False,False,1238887685,False,False,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,1238887685",0.8002400000000001,0.03560660906666667,False,0.01
5,100,100,10000,0.25,25,0.55,10,0,"[1, 0.2, 0.8]",False,False,False,4054965383,False,False,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,4054965383",0.8009766666666667,0.034491379455555554,False,0.01
6,100,100,10000,0.25,25,0.55,10,0,"[1, 0.2, 0.8]",False,False,False,2761080530,False,False,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,2761080530",0.8003466666666668,0.03523521315555556,False,0.01
7,100,100,10000,0.25,25,0.55,10,0,"[1, 0.2, 0.8]",False,False,False,1056108581,False,False,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,1056108581",0.7965566666666668,0.0352044767888889,False,0.01
8,100,100,10000,0.25,25,0.55,10,0,"[1, 0.2, 0.8]",False,False,False,2095511772,False,False,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,2095511772",0.80006,0.03558532973333333,False,0.01
9,100,100,10000,0.25,25,0.55,10,0,"[1, 0.2, 0.8]",False,False,False,121858708,False,False,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,121858708",0.8026300000000001,0.03491852754444445,False,0.01
10,100,100,10000,0.25,25,0.55,10,0,"[1, 0.2, 0.8]",False,False,False,724147847,False,False,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,724147847",0.7952533333333334,0.036771913600000004,False,0.01
11,100,100,10000,0.25,25,0.55,10,0,"[1, 0.2, 0.8]",False,False,False,2958429092,False,False,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,2958429092",0.80096,0.03554752284444445,False,0.01
12,100,100,10000,0.25,25,0.55,10,0,"[1, 0.2, 0.8]",False,False,False,405794671,False,False,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,405794671",0.8011866666666667,0.03526770293333333,False,0.01
13,100,100,10000,0.25,25,0.55,10,0,"[1, 0.2, 0.8]",False,False,False,1313786718,False,False,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,1313786718",0.8003133333333333,0.03484412404444445,False,0.01
14,100,100,10000,0.25,25,0.55,10,0,"[1, 0.2, 0.8]",False,False,False,1324480899,False,False,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,1324480899",0.7978733333333333,0.03597969951111111,False,0.01
15,100,100,10000,0.25,25,0.55,10,0,"[1, 0.2, 0.8]",False,False,False,309948642,False,False,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,309948642",0.7991366666666667,0.03586425465555555,False,0.01
16,100,100,10000,0.25,25,0.55,10,0,"[1, 0.2, 0.8]",False,False,False,96957471,False,False,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,96957471",0.8021133333333333,0.0346233116,False,0.01
17,100,100,10000,0.25,25,0.55,10,0,"[1, 0.2, 0.8]",False,False,False,224110597,False,False,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,224110597",0.7982366666666667,0.0353363351,False,0.01
18,100,100,10000,0.25,25,0.55,10,0,"[1, 0.2, 0.8]",False,False,False,388803509,False,False,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,388803509",0.8018433333333334,0.03617693545555555,False,0.01
