,width,height,runtime,threshold,sigmoid_strength,coupling,refractory_period,set_seed,constant,gradient,grad_start,grad_end,normal_modes,normal_modes_config,graph,FullStateSave,stats,seed,location_2,location_3,location_4,AF_time,per_%,title,in AF?
48,140,80,2800,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[[1, 5, 10, 20], [1, 3, 5], 0.2, 0.75]",False,False,False,1049333629,False,False,False,False,1.0,"140,80,2800,0.25,25,Normal Modes,10,1049333629",False
49,140,80,2800,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[[1, 5, 10, 20], [1, 3, 5], 0.2, 0.75]",False,False,False,821465479,False,False,False,False,1.0,"140,80,2800,0.25,25,Normal Modes,10,821465479",False
50,140,80,2800,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[[1, 5, 10, 20], [1, 3, 5], 0.2, 0.75]",False,False,False,1181181860,False,False,False,False,1.0,"140,80,2800,0.25,25,Normal Modes,10,1181181860",False
51,140,80,2800,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[[1, 5, 10, 20], [1, 3, 5], 0.2, 0.75]",False,False,False,504961442,False,False,False,False,1.0,"140,80,2800,0.25,25,Normal Modes,10,504961442",False
52,140,80,2800,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[[1, 5, 10, 20], [1, 3, 5], 0.2, 0.75]",False,False,False,4045945588,False,False,False,False,1.0,"140,80,2800,0.25,25,Normal Modes,10,4045945588",False
53,140,80,2800,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[[1, 5, 10, 20], [1, 3, 5], 0.2, 0.75]",False,False,False,3490306974,False,False,False,False,1.0,"140,80,2800,0.25,25,Normal Modes,10,3490306974",False
54,140,80,2800,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[[1, 5, 10, 20], [1, 3, 5], 0.2, 0.75]",False,False,False,1990401222,False,False,False,False,1.0,"140,80,2800,0.25,25,Normal Modes,10,1990401222",False
55,140,80,2800,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[[1, 5, 10, 20], [1, 3, 5], 0.2, 0.75]",False,False,False,522193211,False,False,False,False,1.0,"140,80,2800,0.25,25,Normal Modes,10,522193211",False
56,140,80,2800,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[[1, 5, 10, 20], [1, 3, 5], 0.2, 0.75]",False,False,False,304837260,False,False,False,False,1.0,"140,80,2800,0.25,25,Normal Modes,10,304837260",False
57,140,80,2800,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[[1, 5, 10, 20], [1, 3, 5], 0.2, 0.75]",False,False,False,3556311799,False,False,False,False,1.0,"140,80,2800,0.25,25,Normal Modes,10,3556311799",False
58,140,80,2800,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[[1, 5, 10, 20], [1, 3, 5], 0.2, 0.75]",False,False,False,719054630,False,False,False,False,1.0,"140,80,2800,0.25,25,Normal Modes,10,719054630",False
59,140,80,2800,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[[1, 5, 10, 20], [1, 3, 5], 0.2, 0.75]",False,False,False,2564571804,False,False,False,False,1.0,"140,80,2800,0.25,25,Normal Modes,10,2564571804",False
