,width,height,runtime,threshold,sigmoid_strength,coupling,refractory_period,set_seed,normal_modes_config,graph,FullStateSave,stats,seed,location_2,location_3,location_4,location_err,AF_time,Hamming_dis_arr,per_%,title,mean,variance,in AF?,multiplier
0,100,100,10000,0.25,25,0.55,10,0,"[1, 0.2, 0.7]",False,False,False,108048992,False,False,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,108048992",0.6994166666666666,0.04361199305555556,False,0.01
1,100,100,10000,0.25,25,0.55,10,0,"[1, 0.2, 0.7]",False,False,False,3370313047,False,False,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,3370313047",0.6989,0.044327901111111116,False,0.01
2,100,100,10000,0.25,25,0.55,10,0,"[1, 0.2, 0.7]",False,False,False,2396087119,False,False,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,2396087119",0.7005233333333334,0.04308028167777778,False,0.01
3,100,100,10000,0.25,25,0.55,10,0,"[1, 0.2, 0.7]",False,False,False,3230667648,False,False,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,3230667648",0.6988300000000001,0.043109853322222225,False,0.01
4,100,100,10000,0.25,25,0.55,10,0,"[1, 0.2, 0.7]",False,False,False,438857680,False,False,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,438857680",0.6950199999999999,0.04467675515555556,False,0.01
5,100,100,10000,0.25,25,0.55,10,0,"[1, 0.2, 0.7]",False,False,False,1880389678,False,False,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,1880389678",0.7007366666666667,0.04327979065555556,False,0.01
6,100,100,10000,0.25,25,0.55,10,0,"[1, 0.2, 0.7]",False,False,False,3486176726,False,False,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,3486176726",0.6978466666666667,0.04435291871111111,False,0.01
7,100,100,10000,0.25,25,0.55,10,0,"[1, 0.2, 0.7]",False,False,False,3127145400,False,False,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,3127145400",0.7008266666666666,0.04350642773333333,False,0.01
8,100,100,10000,0.25,25,0.55,10,0,"[1, 0.2, 0.7]",False,False,False,3000219520,False,False,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,3000219520",0.70494,0.0427304852888889,False,0.01
9,100,100,10000,0.25,25,0.55,10,0,"[1, 0.2, 0.7]",False,False,False,872834122,False,False,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,872834122",0.6982266666666667,0.04370107751111112,False,0.01
10,100,100,10000,0.25,25,0.55,10,0,"[1, 0.2, 0.7]",False,False,False,3117205764,False,False,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,3117205764",0.6978833333333334,0.043776964166666675,False,0.01
