,width,height,runtime,threshold,sigmoid_strength,coupling,refractory_period,set_seed,constant,gradient,grad_start,grad_end,normal_modes,normal_modes_config,graph,FullStateSave,stats,seed,in AF?,%time in AF
0,50,50,5000,0.25,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0.0, 0.3]",False,False,False,7429206,False,0.0
1,50,50,5000,0.25,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0.0, 0.3]",False,False,False,7917297,False,0.0
2,50,50,5000,0.25,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0.0, 0.3]",False,False,False,9129076,False,0.0
3,50,50,5000,0.25,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0.0, 0.3]",False,False,False,405745,False,0.0
4,50,50,5000,0.25,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0.0, 0.3]",False,False,False,3042465,False,0.0
5,50,50,5000,0.25,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0.0, 0.3]",False,False,False,8483531,False,0.0
6,50,50,5000,0.25,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0.0, 0.3]",False,False,False,5559087,False,0.0
7,50,50,5000,0.25,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0.0, 0.3]",False,False,False,8331399,False,0.0
8,50,50,5000,0.25,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0.0, 0.3]",False,False,False,282396,False,0.0
9,50,50,5000,0.25,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0.0, 0.3]",False,False,False,26679,False,0.0
10,50,50,5000,0.25,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0.0, 0.3]",False,False,False,9680804,False,0.0
11,50,50,5000,0.25,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0.0, 0.3]",False,False,False,6972751,False,0.0
12,50,50,5000,0.25,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0.0, 0.3]",False,False,False,3819381,False,0.0
13,50,50,5000,0.25,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0.0, 0.3]",False,False,False,9270074,False,0.0
14,50,50,5000,0.25,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0.0, 0.3]",False,False,False,2623535,False,0.0
15,50,50,5000,0.25,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0.0, 0.3]",False,False,False,3036489,False,0.0
16,50,50,5000,0.25,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0.0, 0.3]",False,False,False,9781273,False,0.0
17,50,50,5000,0.25,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0.0, 0.3]",False,False,False,4919888,False,0.0
18,50,50,5000,0.25,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0.0, 0.3]",False,False,False,2404314,False,0.0
19,50,50,5000,0.25,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0.0, 0.3]",False,False,False,2483110,False,0.0
