,settings,in_AF,coupling
0,"[50, 50, 10000, 0.3, 25]",False,0.8647297297297297
1,"[50, 50, 10000, 0.3, 25]",False,0.8645945945945945
2,"[50, 50, 10000, 0.3, 25]",False,0.8644594594594595
3,"[50, 50, 10000, 0.3, 25]",False,0.8643243243243244
4,"[50, 50, 10000, 0.3, 25]",True,0.8641891891891892
5,"[50, 50, 10000, 0.3, 25]",True,0.864054054054054
6,"[50, 50, 10000, 0.3, 25]",False,0.8639189189189189
7,"[50, 50, 10000, 0.3, 25]",True,0.8637837837837838
8,"[50, 50, 10000, 0.3, 25]",False,0.8636486486486487
9,"[50, 50, 10000, 0.3, 25]",False,0.8635135135135135
10,"[50, 50, 10000, 0.3, 25]",True,0.8633783783783784
11,"[50, 50, 10000, 0.3, 25]",True,0.8632432432432433
12,"[50, 50, 10000, 0.3, 25]",False,0.8631081081081081
13,"[50, 50, 10000, 0.3, 25]",False,0.8629729729729729
14,"[50, 50, 10000, 0.3, 25]",True,0.8628378378378379
15,"[50, 50, 10000, 0.3, 25]",False,0.8627027027027027
16,"[50, 50, 10000, 0.3, 25]",False,0.8625675675675676
17,"[50, 50, 10000, 0.3, 25]",False,0.8624324324324324
18,"[50, 50, 10000, 0.3, 25]",False,0.8622972972972973
19,"[50, 50, 10000, 0.3, 25]",False,0.8621621621621621
20,"[50, 50, 10000, 0.3, 25]",False,0.862027027027027
21,"[50, 50, 10000, 0.3, 25]",False,0.8618918918918919
22,"[50, 50, 10000, 0.3, 25]",True,0.8617567567567568
23,"[50, 50, 10000, 0.3, 25]",True,0.8616216216216216
24,"[50, 50, 10000, 0.3, 25]",False,0.8614864864864865
25,"[50, 50, 10000, 0.3, 25]",False,0.8613513513513513
26,"[50, 50, 10000, 0.3, 25]",False,0.8612162162162162
27,"[50, 50, 10000, 0.3, 25]",True,0.8610810810810811
28,"[50, 50, 10000, 0.3, 25]",False,0.860945945945946
29,"[50, 50, 10000, 0.3, 25]",False,0.8608108108108108
30,"[50, 50, 10000, 0.3, 25]",False,0.8606756756756757
31,"[50, 50, 10000, 0.3, 25]",False,0.8605405405405405
32,"[50, 50, 10000, 0.3, 25]",False,0.8604054054054054
33,"[50, 50, 10000, 0.3, 25]",False,0.8602702702702703
34,"[50, 50, 10000, 0.3, 25]",False,0.8601351351351352
35,"[50, 50, 10000, 0.3, 25]",False,0.86
36,"[50, 50, 10000, 0.3, 25]",False,0.8598648648648648
37,"[50, 50, 10000, 0.3, 25]",False,0.8597297297297297
38,"[50, 50, 10000, 0.3, 25]",False,0.8595945945945946
39,"[50, 50, 10000, 0.3, 25]",False,0.8594594594594595
40,"[50, 50, 10000, 0.3, 25]",True,0.8593243243243243
41,"[50, 50, 10000, 0.3, 25]",False,0.8591891891891892
42,"[50, 50, 10000, 0.3, 25]",False,0.8590540540540541
43,"[50, 50, 10000, 0.3, 25]",False,0.8589189189189189
44,"[50, 50, 10000, 0.3, 25]",False,0.8587837837837837
45,"[50, 50, 10000, 0.3, 25]",False,0.8586486486486486
46,"[50, 50, 10000, 0.3, 25]",False,0.8585135135135136
47,"[50, 50, 10000, 0.3, 25]",False,0.8583783783783784
48,"[50, 50, 10000, 0.3, 25]",False,0.8582432432432432
49,"[50, 50, 10000, 0.3, 25]",False,0.8581081081081081
50,"[50, 50, 10000, 0.3, 25]",False,0.857972972972973
51,"[50, 50, 10000, 0.3, 25]",False,0.8578378378378378
52,"[50, 50, 10000, 0.3, 25]",False,0.8577027027027027
53,"[50, 50, 10000, 0.3, 25]",False,0.8575675675675676
54,"[50, 50, 10000, 0.3, 25]",False,0.8574324324324325
55,"[50, 50, 10000, 0.3, 25]",False,0.8572972972972973
56,"[50, 50, 10000, 0.3, 25]",False,0.8571621621621621
57,"[50, 50, 10000, 0.3, 25]",False,0.857027027027027
58,"[50, 50, 10000, 0.3, 25]",False,0.8568918918918919
59,"[50, 50, 10000, 0.3, 25]",False,0.8567567567567568
60,"[50, 50, 10000, 0.3, 25]",False,0.8566216216216216
61,"[50, 50, 10000, 0.3, 25]",True,0.8564864864864865
62,"[50, 50, 10000, 0.3, 25]",False,0.8563513513513513
63,"[50, 50, 10000, 0.3, 25]",True,0.8562162162162162
64,"[50, 50, 10000, 0.3, 25]",False,0.856081081081081
65,"[50, 50, 10000, 0.3, 25]",True,0.855945945945946
66,"[50, 50, 10000, 0.3, 25]",False,0.8558108108108108
67,"[50, 50, 10000, 0.3, 25]",False,0.8556756756756757
68,"[50, 50, 10000, 0.3, 25]",False,0.8555405405405405
69,"[50, 50, 10000, 0.3, 25]",False,0.8554054054054054
70,"[50, 50, 10000, 0.3, 25]",True,0.8552702702702702
71,"[50, 50, 10000, 0.3, 25]",False,0.8551351351351352
72,"[50, 50, 10000, 0.3, 25]",False,0.855
73,"[50, 50, 10000, 0.3, 25]",True,0.8548648648648649
74,"[50, 50, 10000, 0.3, 25]",False,0.8547297297297297
75,"[50, 50, 10000, 0.3, 25]",False,0.8545945945945945
76,"[50, 50, 10000, 0.3, 25]",False,0.8544594594594594
77,"[50, 50, 10000, 0.3, 25]",True,0.8543243243243244
78,"[50, 50, 10000, 0.3, 25]",False,0.8541891891891892
79,"[50, 50, 10000, 0.3, 25]",False,0.854054054054054
80,"[50, 50, 10000, 0.3, 25]",False,0.8539189189189189
81,"[50, 50, 10000, 0.3, 25]",False,0.8537837837837838
82,"[50, 50, 10000, 0.3, 25]",False,0.8536486486486486
83,"[50, 50, 10000, 0.3, 25]",False,0.8535135135135135
84,"[50, 50, 10000, 0.3, 25]",False,0.8533783783783784
85,"[50, 50, 10000, 0.3, 25]",False,0.8532432432432433
86,"[50, 50, 10000, 0.3, 25]",False,0.8531081081081081
87,"[50, 50, 10000, 0.3, 25]",False,0.8529729729729729
88,"[50, 50, 10000, 0.3, 25]",False,0.8528378378378378
89,"[50, 50, 10000, 0.3, 25]",False,0.8527027027027028
90,"[50, 50, 10000, 0.3, 25]",False,0.8525675675675676
91,"[50, 50, 10000, 0.3, 25]",False,0.8524324324324324
92,"[50, 50, 10000, 0.3, 25]",True,0.8522972972972973
93,"[50, 50, 10000, 0.3, 25]",True,0.8521621621621622
94,"[50, 50, 10000, 0.3, 25]",False,0.852027027027027
95,"[50, 50, 10000, 0.3, 25]",False,0.8518918918918919
96,"[50, 50, 10000, 0.3, 25]",True,0.8517567567567568
97,"[50, 50, 10000, 0.3, 25]",False,0.8516216216216216
98,"[50, 50, 10000, 0.3, 25]",False,0.8514864864864865
99,"[50, 50, 10000, 0.3, 25]",False,0.8513513513513513
100,"[50, 50, 10000, 0.3, 25]",False,0.8512162162162162
101,"[50, 50, 10000, 0.3, 25]",False,0.851081081081081
102,"[50, 50, 10000, 0.3, 25]",False,0.850945945945946
103,"[50, 50, 10000, 0.3, 25]",False,0.8508108108108108
104,"[50, 50, 10000, 0.3, 25]",False,0.8506756756756757
105,"[50, 50, 10000, 0.3, 25]",False,0.8505405405405405
106,"[50, 50, 10000, 0.3, 25]",True,0.8504054054054054
107,"[50, 50, 10000, 0.3, 25]",False,0.8502702702702702
108,"[50, 50, 10000, 0.3, 25]",False,0.8501351351351352
109,"[50, 50, 10000, 0.3, 25]",True,0.85
110,"[50, 50, 10000, 0.3, 25]",False,0.8498648648648649
111,"[50, 50, 10000, 0.3, 25]",False,0.8497297297297297
112,"[50, 50, 10000, 0.3, 25]",False,0.8495945945945946
113,"[50, 50, 10000, 0.3, 25]",False,0.8494594594594594
114,"[50, 50, 10000, 0.3, 25]",True,0.8493243243243244
115,"[50, 50, 10000, 0.3, 25]",False,0.8491891891891892
116,"[50, 50, 10000, 0.3, 25]",False,0.8490540540540541
117,"[50, 50, 10000, 0.3, 25]",False,0.8489189189189189
118,"[50, 50, 10000, 0.3, 25]",True,0.8487837837837837
119,"[50, 50, 10000, 0.3, 25]",False,0.8486486486486486
120,"[50, 50, 10000, 0.3, 25]",True,0.8485135135135136
