,width,height,runtime,threshold,sigmoid_strength,coupling,refractory_period,set_seed,normal_modes_config,graph,FullStateSave,stats,seed,location_2,location_3,location_4,location_err,AF_time,Hamming_dis_arr,per_%,title,mean,variance,in AF?,multiplier
0,100,100,10000,0.25,25,0.55,10,0,"[5, 0.0, 0.0]",True,False,False,204590494,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,204590494",0.0,0.0,False,1
1,100,100,10000,0.25,25,0.55,10,0,"[5, 0.0, 0.0]",True,False,False,204053848,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,204053848",0.0,0.0,False,1
2,100,100,10000,0.25,25,0.55,10,0,"[5, 0.0, 0.0]",True,False,False,3670116305,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,3670116305",0.0,0.0,False,1
3,100,100,10000,0.25,25,0.55,10,0,"[5, 0.0, 0.0]",True,False,False,130692948,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,130692948",0.0,0.0,False,1
4,100,100,10000,0.25,25,0.55,10,0,"[5, 0.0, 0.0]",True,False,False,3190456121,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,3190456121",0.0,0.0,False,1
5,100,100,10000,0.25,25,0.55,10,0,"[5, 0.0, 0.0]",True,False,False,2937670007,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,2937670007",0.0,0.0,False,1
6,100,100,10000,0.25,25,0.55,10,0,"[5, 0.0, 0.0]",True,False,False,3528317827,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,3528317827",0.0,0.0,False,1
7,100,100,10000,0.25,25,0.55,10,0,"[5, 0.0, 0.0]",True,False,False,1414131925,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,1414131925",0.0,0.0,False,1
8,100,100,10000,0.25,25,0.55,10,0,"[5, 0.0, 0.0]",True,False,False,1579870989,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,1579870989",0.0,0.0,False,1
9,100,100,10000,0.25,25,0.55,10,0,"[5, 0.0, 0.0]",True,False,False,3568828347,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,3568828347",0.0,0.0,False,1
10,100,100,10000,0.25,25,0.55,10,0,"[5, 0.0, 0.0]",True,False,False,3333830142,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,3333830142",0.0,0.0,False,1
11,100,100,10000,0.25,25,0.55,10,0,"[5, 0.0, 0.0]",True,False,False,3277407049,False,False,False,False,False,False,0.0,"100,100,10000,0.25,25,Normal Modes,10,3277407049",0.0,0.0,False,1
