,width,height,runtime,threshold,sigmoid_strength,coupling,refractory_period,set_seed,constant,gradient,grad_start,grad_end,normal_modes,normal_modes_config,graph,FullStateSave,stats,seed,location_2,location_3,location_4,AF_time,per_%,title,mean,variance,in AF?,multiplier
0,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[5, 0.2, 0.6]",False,False,False,3595261677,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,3595261677",0.6024933333333332,0.048081783288888895,False,0.1
1,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[5, 0.2, 0.6]",False,False,False,413810520,3456,3456,3456,"(583, 783)",1.0,"100,100,10000,0.25,25,Normal Modes,10,413810520",0.6050933333333333,0.04847094684444445,True,0.5
2,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[5, 0.2, 0.6]",False,False,False,979717739,9116,9116,9116,"(1, 132)",1.0,"100,100,10000,0.25,25,Normal Modes,10,979717739",0.6000866666666667,0.04846332582222222,True,1.0
3,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[5, 0.2, 0.6]",False,False,False,2606237186,9925,9925,9925,"(1, 146)",1.0,"100,100,10000,0.25,25,Normal Modes,10,2606237186",0.5958700000000001,0.04786349865555556,True,2.0
4,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[5, 0.2, 0.6]",False,False,False,2933787360,4302,4403,4708,"(1, 114)",1.0,"100,100,10000,0.25,25,Normal Modes,10,2933787360",0.59883,0.048416519988888886,True,3.0
5,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[5, 0.2, 0.6]",False,False,False,75714808,7610,1814,1814,"(1, 126)",1.0,"100,100,10000,0.25,25,Normal Modes,10,75714808",0.6047433333333333,0.04910094523333333,True,4.0
6,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[5, 0.2, 0.6]",False,False,False,2127064321,6806,2510,9211,"(1, 119)",1.0,"100,100,10000,0.25,25,Normal Modes,10,2127064321",0.5992333333333333,0.04847141222222224,True,5.0
7,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[5, 0.2, 0.6]",False,False,False,1011704891,3505,3505,3605,"(1, 118)",1.0,"100,100,10000,0.25,25,Normal Modes,10,1011704891",0.5959066666666666,0.04807835573333334,True,6.0
8,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[5, 0.2, 0.6]",False,False,False,807129508,2908,2908,2908,"(1, 125)",1.0,"100,100,10000,0.25,25,Normal Modes,10,807129508",0.5941033333333333,0.04939867376666667,True,7.0
9,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[5, 0.2, 0.6]",False,False,False,4136075280,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,4136075280",0.6021099999999999,0.050558770122222235,False,8.0
10,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[5, 0.2, 0.6]",False,False,False,1437344104,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,1437344104",0.59835,0.04903605527777779,False,9.0
11,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[5, 0.2, 0.6]",False,False,False,2926581567,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,2926581567",0.5985466666666667,0.04859188782222223,False,10.0
12,100,100,10000,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[5, 0.2, 0.6]",False,False,False,677886979,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,677886979",0.5989766666666667,0.0490470639,False,11.0
