,width,height,runtime,threshold,sigmoid_strength,coupling,refractory_period,set_seed,constant,gradient,grad_start,grad_end,normal_modes,normal_modes_config,graph,FullStateSave,stats,seed,in AF?,%time in AF
0,50,50,5000,0.3,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0, 0.5]",False,False,False,5980437,True,0.9898
1,50,50,5000,0.3,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0, 0.5]",False,False,False,2535423,True,0.9924
2,50,50,5000,0.3,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0, 0.5]",False,False,False,4767256,True,0.9924
3,50,50,5000,0.3,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0, 0.5]",False,False,False,6741092,True,0.9932
4,50,50,5000,0.3,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0, 0.5]",False,False,False,5590455,True,0.991
5,50,50,5000,0.3,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0, 0.5]",False,False,False,5467424,True,0.9934
6,50,50,5000,0.3,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0, 0.5]",False,False,False,6914464,True,0.9934
7,50,50,5000,0.3,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0, 0.5]",False,False,False,6703896,True,0.985
8,50,50,5000,0.3,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0, 0.5]",False,False,False,5342971,True,0.9934
9,50,50,5000,0.3,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0, 0.5]",False,False,False,8465195,True,0.9928
10,50,50,5000,0.3,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0, 0.5]",False,False,False,5882707,True,0.9926
11,50,50,5000,0.3,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0, 0.5]",False,False,False,4912801,True,0.9946
12,50,50,5000,0.3,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0, 0.5]",False,False,False,9818401,True,0.9904
13,50,50,5000,0.3,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0, 0.5]",False,False,False,1222101,True,0.9906
14,50,50,5000,0.3,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0, 0.5]",False,False,False,8117275,True,0.9916
15,50,50,5000,0.3,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0, 0.5]",False,False,False,9420236,True,0.9938
16,50,50,5000,0.3,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0, 0.5]",False,False,False,7993095,True,0.994
17,50,50,5000,0.3,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0, 0.5]",False,False,False,4498604,True,0.9916
18,50,50,5000,0.3,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0, 0.5]",False,False,False,8523945,True,0.988
19,50,50,5000,0.3,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0, 0.5]",False,False,False,7670094,True,0.9876
20,50,50,5000,0.3,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0, 0.5]",False,False,False,9490038,True,0.9906
21,50,50,5000,0.3,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0, 0.5]",False,False,False,2890532,True,0.988
22,50,50,5000,0.3,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0, 0.5]",False,False,False,9487018,True,0.9892
23,50,50,5000,0.3,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0, 0.5]",False,False,False,1162792,True,0.992
24,50,50,5000,0.3,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0, 0.5]",False,False,False,8127810,True,0.9908
25,50,50,5000,0.3,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0, 0.5]",False,False,False,2202542,True,0.9914
26,50,50,5000,0.3,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0, 0.5]",False,False,False,2051810,True,0.9906
27,50,50,5000,0.3,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0, 0.5]",False,False,False,8535403,True,0.992
28,50,50,5000,0.3,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0, 0.5]",False,False,False,3261397,True,0.991
29,50,50,5000,0.3,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0, 0.5]",False,False,False,8223979,True,0.9888
30,50,50,5000,0.3,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0, 0.5]",False,False,False,7910899,True,0.9906
31,50,50,5000,0.3,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0, 0.5]",False,False,False,5205001,True,0.9942
32,50,50,5000,0.3,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0, 0.5]",False,False,False,6594352,True,0.9924
33,50,50,5000,0.3,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0, 0.5]",False,False,False,3628483,True,0.989
34,50,50,5000,0.3,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0, 0.5]",False,False,False,7888310,True,0.9872
35,50,50,5000,0.3,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0, 0.5]",False,False,False,8285285,True,0.992
36,50,50,5000,0.3,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0, 0.5]",False,False,False,7514159,True,0.9882
37,50,50,5000,0.3,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0, 0.5]",False,False,False,7022814,True,0.992
38,50,50,5000,0.3,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0, 0.5]",False,False,False,7208045,True,0.9884
39,50,50,5000,0.3,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0, 0.5]",False,False,False,4663389,True,0.9902
40,50,50,5000,0.3,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0, 0.5]",False,False,False,6998770,True,0.9936
41,50,50,5000,0.3,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0, 0.5]",False,False,False,1932720,True,0.9866
42,50,50,5000,0.3,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0, 0.5]",False,False,False,8391040,True,0.993
43,50,50,5000,0.3,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0, 0.5]",False,False,False,8537502,True,0.9882
44,50,50,5000,0.3,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0, 0.5]",False,False,False,2979835,True,0.9932
45,50,50,5000,0.3,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0, 0.5]",False,False,False,5174041,True,0.9872
46,50,50,5000,0.3,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0, 0.5]",False,False,False,2577303,True,0.9884
47,50,50,5000,0.3,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0, 0.5]",False,False,False,8972384,True,0.9918
48,50,50,5000,0.3,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0, 0.5]",False,False,False,3403673,True,0.9924
