,width,height,runtime,threshold,sigmoid_strength,coupling,refractory_period,set_seed,constant,gradient,grad_start,grad_end,normal_modes,normal_modes_config,graph,FullStateSave,stats,seed,in AF?,%time in AF
0,50,50,5000,0.2,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0.0, 0.3]",False,False,False,2264322,False,0.0
1,50,50,5000,0.2,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0.0, 0.3]",False,False,False,3185863,False,0.0
2,50,50,5000,0.2,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0.0, 0.3]",False,False,False,7134589,False,0.0
3,50,50,5000,0.2,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0.0, 0.3]",False,False,False,7944797,False,0.0
4,50,50,5000,0.2,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0.0, 0.3]",False,False,False,407277,False,0.0
5,50,50,5000,0.2,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0.0, 0.3]",False,False,False,7920943,False,0.0
6,50,50,5000,0.2,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0.0, 0.3]",False,False,False,6884948,False,0.0
7,50,50,5000,0.2,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0.0, 0.3]",False,False,False,6565,False,0.0
8,50,50,5000,0.2,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0.0, 0.3]",False,False,False,9882347,False,0.0
9,50,50,5000,0.2,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0.0, 0.3]",False,False,False,4873287,False,0.0
10,50,50,5000,0.2,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0.0, 0.3]",False,False,False,9398901,False,0.0
11,50,50,5000,0.2,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0.0, 0.3]",False,False,False,8615382,False,0.0
12,50,50,5000,0.2,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0.0, 0.3]",False,False,False,5007008,False,0.0
13,50,50,5000,0.2,25,0.55,10,0,False,False,0.7,0.3,True,"[0.25, 1, 0.0, 0.3]",False,False,False,3480010,False,0.0
