,settings,in_AF,coupling,%_time_AF
75,"[50, 50, 1000, 0.4, 25]",False,0.9897297297297297,0.0
76,"[50, 50, 1000, 0.4, 25]",False,0.9895945945945946,0.0
77,"[50, 50, 1000, 0.4, 25]",False,0.9894594594594595,0.0
78,"[50, 50, 1000, 0.4, 25]",False,0.9893243243243244,0.0
79,"[50, 50, 1000, 0.4, 25]",False,0.9891891891891892,0.0
80,"[50, 50, 1000, 0.4, 25]",False,0.989054054054054,0.0
81,"[50, 50, 1000, 0.4, 25]",False,0.9889189189189189,0.0
82,"[50, 50, 1000, 0.4, 25]",False,0.9887837837837837,0.0
83,"[50, 50, 1000, 0.4, 25]",False,0.9886486486486487,0.0
84,"[50, 50, 1000, 0.4, 25]",False,0.9885135135135135,0.0
85,"[50, 50, 1000, 0.4, 25]",False,0.9883783783783784,0.0
86,"[50, 50, 1000, 0.4, 25]",False,0.9882432432432432,0.0
87,"[50, 50, 1000, 0.4, 25]",False,0.9881081081081081,0.0
88,"[50, 50, 1000, 0.4, 25]",False,0.9879729729729729,0.0
89,"[50, 50, 1000, 0.4, 25]",False,0.9878378378378379,0.0
90,"[50, 50, 1000, 0.4, 25]",False,0.9877027027027027,0.0
91,"[50, 50, 1000, 0.4, 25]",False,0.9875675675675676,0.0
92,"[50, 50, 1000, 0.4, 25]",False,0.9874324324324324,0.0
93,"[50, 50, 1000, 0.4, 25]",False,0.9872972972972973,0.0
94,"[50, 50, 1000, 0.4, 25]",False,0.9871621621621621,0.0
95,"[50, 50, 1000, 0.4, 25]",False,0.987027027027027,0.0
96,"[50, 50, 1000, 0.4, 25]",False,0.9868918918918919,0.0
97,"[50, 50, 1000, 0.4, 25]",False,0.9867567567567568,0.0
98,"[50, 50, 1000, 0.4, 25]",False,0.9866216216216216,0.0
99,"[50, 50, 1000, 0.4, 25]",False,0.9864864864864865,0.0
100,"[50, 50, 1000, 0.4, 25]",False,0.9863513513513513,0.0
101,"[50, 50, 1000, 0.4, 25]",False,0.9862162162162162,0.0
102,"[50, 50, 1000, 0.4, 25]",False,0.9860810810810811,0.0
103,"[50, 50, 1000, 0.4, 25]",False,0.985945945945946,0.0
104,"[50, 50, 1000, 0.4, 25]",False,0.9858108108108108,0.0
105,"[50, 50, 1000, 0.4, 25]",False,0.9856756756756757,0.0
106,"[50, 50, 1000, 0.4, 25]",False,0.9855405405405405,0.0
107,"[50, 50, 1000, 0.4, 25]",False,0.9854054054054054,0.0
108,"[50, 50, 1000, 0.4, 25]",False,0.9852702702702703,0.0
109,"[50, 50, 1000, 0.4, 25]",False,0.9851351351351352,0.0
110,"[50, 50, 1000, 0.4, 25]",False,0.985,0.0
111,"[50, 50, 1000, 0.4, 25]",False,0.9848648648648649,0.0
112,"[50, 50, 1000, 0.4, 25]",False,0.9847297297297297,0.0
113,"[50, 50, 1000, 0.4, 25]",False,0.9845945945945946,0.0
114,"[50, 50, 1000, 0.4, 25]",False,0.9844594594594595,0.0
115,"[50, 50, 1000, 0.4, 25]",False,0.9843243243243244,0.0
116,"[50, 50, 1000, 0.4, 25]",False,0.9841891891891892,0.0
117,"[50, 50, 1000, 0.4, 25]",False,0.9840540540540541,0.0
118,"[50, 50, 1000, 0.4, 25]",False,0.9839189189189189,0.0
119,"[50, 50, 1000, 0.4, 25]",False,0.9837837837837837,0.0
120,"[50, 50, 1000, 0.4, 25]",False,0.9836486486486486,0.0
121,"[50, 50, 1000, 0.4, 25]",False,0.9835135135135135,0.0
122,"[50, 50, 1000, 0.4, 25]",False,0.9833783783783784,0.0
123,"[50, 50, 1000, 0.4, 25]",False,0.9832432432432432,0.0
124,"[50, 50, 1000, 0.4, 25]",False,0.9831081081081081,0.0
125,"[50, 50, 1000, 0.4, 25]",False,0.9829729729729729,0.0
126,"[50, 50, 1000, 0.4, 25]",False,0.9828378378378378,0.0
127,"[50, 50, 1000, 0.4, 25]",False,0.9827027027027027,0.0
128,"[50, 50, 1000, 0.4, 25]",False,0.9825675675675676,0.0
129,"[50, 50, 1000, 0.4, 25]",False,0.9824324324324324,0.0
130,"[50, 50, 1000, 0.4, 25]",False,0.9822972972972973,0.0
131,"[50, 50, 1000, 0.4, 25]",False,0.9821621621621621,0.0
132,"[50, 50, 1000, 0.4, 25]",False,0.982027027027027,0.0
133,"[50, 50, 1000, 0.4, 25]",False,0.9818918918918919,0.0
134,"[50, 50, 1000, 0.4, 25]",False,0.9817567567567568,0.0
135,"[50, 50, 1000, 0.4, 25]",False,0.9816216216216216,0.0
136,"[50, 50, 1000, 0.4, 25]",False,0.9814864864864865,0.0
137,"[50, 50, 1000, 0.4, 25]",False,0.9813513513513513,0.0
138,"[50, 50, 1000, 0.4, 25]",False,0.9812162162162162,0.0
139,"[50, 50, 1000, 0.4, 25]",False,0.981081081081081,0.0
140,"[50, 50, 1000, 0.4, 25]",False,0.980945945945946,0.0
141,"[50, 50, 1000, 0.4, 25]",False,0.9808108108108108,0.0
142,"[50, 50, 1000, 0.4, 25]",False,0.9806756756756757,0.0
143,"[50, 50, 1000, 0.4, 25]",False,0.9805405405405405,0.0
144,"[50, 50, 1000, 0.4, 25]",False,0.9804054054054054,0.0
145,"[50, 50, 1000, 0.4, 25]",False,0.9802702702702702,0.0
146,"[50, 50, 1000, 0.4, 25]",False,0.9801351351351352,0.0
147,"[50, 50, 1000, 0.4, 25]",False,0.98,0.0
148,"[50, 50, 1000, 0.4, 25]",False,0.9798648648648649,0.0
149,"[50, 50, 1000, 0.4, 25]",False,0.9797297297297297,0.0
150,"[50, 50, 1000, 0.4, 25]",False,0.9795945945945946,0.0
151,"[50, 50, 1000, 0.4, 25]",False,0.9794594594594594,0.0
152,"[50, 50, 1000, 0.4, 25]",False,0.9793243243243244,0.0
153,"[50, 50, 1000, 0.4, 25]",False,0.9791891891891892,0.0
154,"[50, 50, 1000, 0.4, 25]",False,0.9790540540540541,0.0
155,"[50, 50, 1000, 0.4, 25]",False,0.9789189189189189,0.0
156,"[50, 50, 1000, 0.4, 25]",False,0.9787837837837838,0.0
157,"[50, 50, 1000, 0.4, 25]",False,0.9786486486486486,0.0
158,"[50, 50, 1000, 0.4, 25]",False,0.9785135135135136,0.0
159,"[50, 50, 1000, 0.4, 25]",False,0.9783783783783784,0.0
160,"[50, 50, 1000, 0.4, 25]",False,0.9782432432432433,0.0
161,"[50, 50, 1000, 0.4, 25]",False,0.9781081081081081,0.0
