,width,height,runtime,threshold,sigmoid_strength,coupling,refractory_period,set_seed,normal_modes_config,graph,FullStateSave,stats,seed,location_2,location_3,location_4,location_err,AF_time,Hamming_dis_arr,Ham_dis_AF,Ham_dis_meanx,per_%,title,mean,variance,in AF?,multiplier
0,100,100,10000,0.25,25,0.55,10,0,"[0, 0.2, 0.5]",True,False,False,2965224795,7520,7721,7721,True,"(1, 139)","[[1.9843821439087315, 1.8742589380848245, 1.8165902124584952, 1.92006102742347, 1.279949177191724, 1.4601822604181318, 1.3601711945059236, 1.357915780445963, 1.563715614616617, 1.2173719480231977, 1.3454791344112738, 1.1061955699844646, 1.1627611488981846, 1.2651409892378211, 1.4285359154030204, 1.3911772531420514]]",1.3454791344112738,19.865671641791046,1.0,"100,100,10000,0.25,25,Normal Modes,10,2965224795",0.4985166666666666,0.04249079972222222,True,1
1,100,100,10000,0.25,25,0.55,10,0,"[0, 0.2, 0.5]",True,False,False,1409200206,2862,8361,8361,False,"(1, 192)","[[2.211716111328867, 2.3883008621266844, 2.2514797351369666, 2.2384510861991425, 2.1814201223056506, 2.704064683391618, 2.2108267915060233, 2.214015458275641, 1.9626413571864767, 2.0485523150254075, 2.22395025453615, 2.020494988857928, 2.428450193707149, 2.449054883518376, 2.1594612498068493, 2.2646023926759375]]",2.22395025453615,59.45967741935484,1.0,"100,100,10000,0.25,25,Normal Modes,10,1409200206",0.49585999999999997,0.042168415955555566,True,1
2,100,100,10000,0.25,25,0.55,10,0,"[0, 0.2, 0.5]",True,False,False,417481770,3227,3227,3227,True,"(1, 151)","[[1.9451462027313011, 1.9668741062915032, 1.3365346184535538, 1.5321920430374925, 1.7266525607924732, 1.383964285253468, 1.557282193609506, 1.6373631377866973, 1.7088905657652604, 1.7239634700055806, 1.5129074290546958, 1.7437507087934827, 1.7145674645678686, 1.8695104690046649, 1.7589474667221727, 1.8532429083484308]]",1.5129074290546958,24.833333333333332,1.0,"100,100,10000,0.25,25,Normal Modes,10,417481770",0.5029899999999999,0.042152504344444446,True,1
3,100,100,10000,0.25,25,0.55,10,0,"[0, 0.2, 0.5]",True,False,False,87898757,4543,4543,4644,True,"(1, 168)","[[1.3560258671366672, 1.4181045124260994, 1.4794828869764258, 1.8958383102339516, 1.964529205687714, 1.8708286933869707, 1.9241307116461899, 2.133353150918654, 2.098622338635898, 1.994617025436021, 2.1391418219405183, 1.3970541433655173, 1.4466856632606906, 1.507907474042123, 1.6987663273227123, 1.497706580075016]]",2.1391418219405183,39.953125,1.0,"100,100,10000,0.25,25,Normal Modes,10,87898757",0.50071,0.041230495900000004,True,1
4,100,100,10000,0.25,25,0.55,10,0,"[0, 0.2, 0.5]",True,False,False,612401070,108,110,108,True,"(1, 122)","[[0, 0.24108229868757355, 0.40710990140256287, 0.45104316367860997, 0.6495114736317843, 0.7244927391275354, 0.922777551216885, 1.031438706304468, 1.0804563855732052, 1.160275023441388, 1.204094576850174, 1.4181956030394445, 1.501293776010234, 1.8426838136918333, 1.9852427624542335, 1.4328355633076986]]",1.204094576850174,7.3625,1.0,"100,100,10000,0.25,25,Normal Modes,10,612401070",0.4993966666666667,0.042408635988888894,True,1
5,100,100,10000,0.25,25,0.55,10,0,"[0, 0.2, 0.5]",True,False,False,3685349693,1707,6217,6135,False,"(1, 123)","[[0, 0, 0, 0.2365931769112261, 0.38933931616091494, 0.5342241179161282, 0.6985030255865474, 0.80386395540626, 1.1273416371739586, 1.1576424553469733, 1.138554316368587, 1.373365962863595, 1.3739508895269714, 1.362081496629408, 1.274303978113451, 1.6001184815896146]]",1.138554316368587,5.758064516129032,1.0,"100,100,10000,0.25,25,Normal Modes,10,3685349693",0.49732333333333334,0.041014946566666675,True,1
6,100,100,10000,0.25,25,0.55,10,0,"[0, 0.2, 0.5]",True,False,False,1836188781,411,411,411,True,"(1, 126)","[[0.40309453866381234, 0.5937243893584221, 0.6754513874896279, 0.9363363916159084, 0.8564205607613169, 0.9158776124425684, 0.847996284497501, 1.024152766382481, 0.9585228833125284, 0.8958897968331971, 0.9961456965861831, 1.1676524434937154, 1.2430635947495672, 1.0968459026937447, 1.2774794620136571, 1.1626695807565537]]",0.9961456965861831,9.657534246575343,1.0,"100,100,10000,0.25,25,Normal Modes,10,1836188781",0.5018633333333333,0.042434861322222225,True,1
7,100,100,10000,0.25,25,0.55,10,0,"[0, 0.2, 0.5]",True,False,False,1088051826,7502,7502,7804,True,"(1, 117)","[[0, 0, 0, 0, 0, 0, 0, 0, 0.24845199749997665, 0.40485222667510057, 0.5029133531331998, 0.7202070708151032, 0.7667288906460407, 0.7905189944664486, 0.8862325277704852, 0.9123187616188286]]",0.5029133531331998,2.675675675675676,1.0,"100,100,10000,0.25,25,Normal Modes,10,1088051826",0.50604,0.042553073955555555,True,1
8,100,100,10000,0.25,25,0.55,10,0,"[0, 0.2, 0.5]",True,False,False,750709935,3847,3960,3960,False,"(1, 177)","[[1.5715960584474895, 1.5872322263057617, 1.349897115421106, 1.4265629328268583, 1.4283749864936783, 0.9977298495122364, 1.0301788828553895, 1.2551129208798666, 1.230720779888867, 0.9917795334170184, 0.9338486821119393, 1.1817035752860148, 1.3054369913832762, 1.0208127087774257, 1.1763447548438004, 1.3481150355203593]]",0.9338486821119393,47.395161290322584,1.0,"100,100,10000,0.25,25,Normal Modes,10,750709935",0.5032099999999999,0.04138002923333334,True,1
9,100,100,10000,0.25,25,0.55,10,0,"[0, 0.2, 0.5]",True,False,False,4248198906,3420,3420,3420,True,"(1, 138)","[[1.3584274197705648, 1.499983924810982, 1.9367763705484449, 2.0554444947519057, 2.4574538749911032, 1.899835519196333, 1.5609658000817774, 1.4460361019570933, 1.3868269138176144, 1.6644822114064697, 1.8853844584627872, 1.8912216397496724, 2.0572048601767134, 2.0474297239186106, 1.7195751729744773, 1.9486026157723926]]",1.8853844584627872,17.661538461538463,1.0,"100,100,10000,0.25,25,Normal Modes,10,4248198906",0.5012466666666667,0.04068355693333334,True,1
